year,stock,capture,effort
1950,Makaira nigricans,12,210639506.7
1950,Pleuronectiformes,12116,210639506.7
1950,Promethichthys prometheus,718,210639506.7
1950,Xiphias gladius,15086,210639506.7
1951,Makaira nigricans,103,162948428.8
1951,Pleuronectiformes,9469,162948428.8
1951,Promethichthys prometheus,1173,162948428.8
1951,Xiphias gladius,15199,162948428.8
1952,Makaira nigricans,121,230300432.9
1952,Pleuronectiformes,10334,230300432.9
1952,Promethichthys prometheus,610,230300432.9
1952,Xiphias gladius,12888,230300432.9
1953,Makaira nigricans,65,289006652.7
1953,Pleuronectiformes,8765,289006652.7
1953,Promethichthys prometheus,752,289006652.7
1953,Xiphias gladius,14559,289006652.7
1954,Chanos chanos,500,399373818.5
1954,Makaira nigricans,110,399373818.5
1954,Pleuronectiformes,9819,399373818.5
1954,Promethichthys prometheus,1069,399373818.5
1954,Xiphias gladius,10718,399373818.5
1955,Chanos chanos,700,337104624.3
1955,Grampus griseus,300,337104624.3
1955,Makaira nigricans,61,337104624.3
1955,Pleuronectiformes,9286,337104624.3
1955,Promethichthys prometheus,937,337104624.3
1955,Xiphias gladius,8314,337104624.3
1956,Chanos chanos,1700,377935094.9
1956,Grampus griseus,300,377935094.9
1956,Makaira nigricans,125,377935094.9
1956,Pleuronectiformes,8370,377935094.9
1956,Promethichthys prometheus,1301,377935094.9
1956,Xiphias gladius,10226,377935094.9
1957,Chanos chanos,1700,409906277.4
1957,Grampus griseus,500,409906277.4
1957,Makaira nigricans,171,409906277.4
1957,Pleuronectiformes,8853,409906277.4
1957,Promethichthys prometheus,990,409906277.4
1957,Xiphias gladius,7561,409906277.4
1958,Chanos chanos,1600,256047022.9
1958,Grampus griseus,500,256047022.9
1958,Makaira nigricans,214,256047022.9
1958,Pleuronectiformes,8703,256047022.9
1958,Promethichthys prometheus,786,256047022.9
1958,Xiphias gladius,24777,256047022.9
1959,Chanos chanos,1700,412358641.4
1959,Elasmobranchii,54,412358641.4
1959,Grampus griseus,500,412358641.4
1959,Makaira nigricans,203,412358641.4
1959,Pleuronectiformes,8268,412358641.4
1959,Promethichthys prometheus,879,412358641.4
1959,Xiphias gladius,22395,412358641.4
1960,Chanos chanos,1500,337441192
1960,Elasmobranchii,41,337441192
1960,Grampus griseus,1300,337441192
1960,Makaira nigricans,147,337441192
1960,Pleuronectiformes,7551,337441192
1960,Promethichthys prometheus,1097,337441192
1960,Xiphias gladius,32078,337441192
1961,Chanos chanos,1700,278367296
1961,Elasmobranchii,53,278367296
1961,Grampus griseus,1400,278367296
1961,Makaira nigricans,167,278367296
1961,Pleuronectiformes,8236,278367296
1961,Promethichthys prometheus,734,278367296
1961,Xiphias gladius,48497,278367296
1962,Chanos chanos,1000,466353927.5
1962,Elasmobranchii,49,466353927.5
1962,Grampus griseus,2100,466353927.5
1962,Makaira nigricans,18,466353927.5
1962,Merluccius productus,36,466353927.5
1962,Pleuronectiformes,8990,466353927.5
1962,Promethichthys prometheus,914,466353927.5
1962,Xiphias gladius,40574,466353927.5
1963,Chanos chanos,1500,321836081.1
1963,Elasmobranchii,58,321836081.1
1963,Grampus griseus,1500,321836081.1
1963,Makaira nigricans,44,321836081.1
1963,Merluccius productus,63,321836081.1
1963,Pleuronectiformes,9948,321836081.1
1963,Promethichthys prometheus,821,321836081.1
1963,Trichiuridae,100,321836081.1
1963,Xiphias gladius,42355,321836081.1
1964,Chanos chanos,900,392161093.5
1964,Elasmobranchii,39,392161093.5
1964,Grampus griseus,1800,392161093.5
1964,Makaira nigricans,5583,392161093.5
1964,Merluccius productus,51,392161093.5
1964,Pleuronectiformes,9562,392161093.5
1964,Promethichthys prometheus,1117,392161093.5
1964,Trichiuridae,100,392161093.5
1964,Xiphias gladius,44570,392161093.5
1965,Chanos chanos,700,289906215.9
1965,Elasmobranchii,41,289906215.9
1965,Grampus griseus,4100,289906215.9
1965,Makaira nigricans,2648,289906215.9
1965,Merluccius productus,54,289906215.9
1965,Pleuronectiformes,10398,289906215.9
1965,Promethichthys prometheus,1299,289906215.9
1965,Trichiuridae,0.001,289906215.9
1965,Xiphias gladius,52252,289906215.9
1966,Chanos chanos,900,278218543.9
1966,Elasmobranchii,39,278218543.9
1966,Grampus griseus,5500,278218543.9
1966,Makaira nigricans,2813,278218543.9
1966,Merluccius productus,31,278218543.9
1966,Pleuronectiformes,10423,278218543.9
1966,Promethichthys prometheus,1459,278218543.9
1966,Trichiuridae,0.001,278218543.9
1966,Xiphias gladius,63245,278218543.9
1967,Chanos chanos,700,394027505.8
1967,Elasmobranchii,33,394027505.8
1967,Engraulis mordax,200,394027505.8
1967,Grampus griseus,8100,394027505.8
1967,Makaira nigricans,1938,394027505.8
1967,Merluccius productus,7,394027505.8
1967,Pleuronectiformes,9611,394027505.8
1967,Promethichthys prometheus,1723,394027505.8
1967,Trichiuridae,0.001,394027505.8
1967,Xiphias gladius,91980,394027505.8
1968,Chanos chanos,900,300239324.9
1968,Elasmobranchii,32,300239324.9
1968,Engraulis mordax,400,300239324.9
1968,Grampus griseus,5000,300239324.9
1968,Katsuwonus pelamis,100,300239324.9
1968,Makaira nigricans,2690,300239324.9
1968,Merluccius productus,0.001,300239324.9
1968,Pleuronectiformes,11387,300239324.9
1968,Promethichthys prometheus,1460,300239324.9
1968,Trichiuridae,0.001,300239324.9
1968,Xiphias gladius,105401,300239324.9
1969,Chanos chanos,1100,294094973.4
1969,Elasmobranchii,24,294094973.4
1969,Engraulis mordax,0.001,294094973.4
1969,Grampus griseus,3900,294094973.4
1969,Katsuwonus pelamis,200,294094973.4
1969,Makaira nigricans,4768,294094973.4
1969,Merluccius productus,1,294094973.4
1969,Pleuronectiformes,11021,294094973.4
1969,Promethichthys prometheus,1886,294094973.4
1969,Trichiuridae,0.001,294094973.4
1969,Xiphias gladius,112791,294094973.4
1970,Chanos chanos,800,215900152.2
1970,Elasmobranchii,0.001,215900152.2
1970,Engraulis mordax,300,215900152.2
1970,Euthynnus lineatus,40,215900152.2
1970,Grampus griseus,5700,215900152.2
1970,Katsuwonus pelamis,210,215900152.2
1970,Makaira nigricans,6000,215900152.2
1970,Merluccius productus,0.001,215900152.2
1970,Penaeus stylirostris,2100,215900152.2
1970,Pleuronectiformes,5900,215900152.2
1970,Promethichthys prometheus,1300,215900152.2
1970,Trichiuridae,100,215900152.2
1970,Xiphias gladius,118100,215900152.2
1971,Chanos chanos,600,588196368.4
1971,Elasmobranchii,0.001,588196368.4
1971,Engraulis mordax,400,588196368.4
1971,Euthynnus lineatus,0.001,588196368.4
1971,Grampus griseus,1700,588196368.4
1971,Katsuwonus pelamis,50,588196368.4
1971,Makaira nigricans,2800,588196368.4
1971,Merluccius productus,0.001,588196368.4
1971,Penaeus stylirostris,2800,588196368.4
1971,Pleuronectiformes,6200,588196368.4
1971,Promethichthys prometheus,1500,588196368.4
1971,Trichiuridae,100,588196368.4
1971,Xiphias gladius,132300,588196368.4
1972,Chanos chanos,400,351810395.1
1972,Elasmobranchii,100,351810395.1
1972,Engraulis mordax,300,351810395.1
1972,Euthynnus lineatus,70,351810395.1
1972,Grampus griseus,2300,351810395.1
1972,Katsuwonus pelamis,50,351810395.1
1972,Makaira nigricans,3602,351810395.1
1972,Merluccius productus,0.001,351810395.1
1972,Penaeus stylirostris,2400,351810395.1
1972,Pleuronectiformes,4600,351810395.1
1972,Promethichthys prometheus,1300,351810395.1
1972,Trichiuridae,100,351810395.1
1972,Xiphias gladius,143700,351810395.1
1973,Chanos chanos,200,198453129.1
1973,Elasmobranchii,0.001,198453129.1
1973,Engraulis mordax,400,198453129.1
1973,Euthynnus lineatus,840,198453129.1
1973,Grampus griseus,2100,198453129.1
1973,Katsuwonus pelamis,120,198453129.1
