stock,variable,year,mean,sd,lower,upper,status
Auxis thazard,b_div_bmsy,2021,5.58078815145564e-09,7.62510667347863,2.25003600640643e-11,0.342312109484807,Overfished
Chanos chanos,b_div_bmsy,2021,1.5712046568087e-08,9.21278665704328,3.24460297670595e-11,0.454353116142527,Overfished
Cololabis saira,b_div_bmsy,2021,1.91669273417629e-09,3.00515417776524,2.90937260578065e-11,1.67690342601756e-07,Overfished
Elasmobranchii,b_div_bmsy,2021,0.279716049204784,0.241965941657453,0.195980484048537,0.418200974482071,Overfished
Engraulis mordax,b_div_bmsy,2021,2.66761230670996e-07,10.0606290293117,2.56877240829484e-11,0.974798754277157,Overfished
Euthynnus lineatus,b_div_bmsy,2021,1.51414654826033e-08,8.49937768850288,1.93875787145229e-11,0.407829232485693,Overfished
Grampus griseus,b_div_bmsy,2021,0.617674511431787,2.67592941199837,0.153792194549705,2.58438158585446,Overfished
Katsuwonus pelamis,b_div_bmsy,2021,0.00979691004337288,8.03842914487189,7.52936182773256e-11,2.26186183167091,Overfished
Makaira nigricans,b_div_bmsy,2021,0.26317386622741,4.94801658308012,0.00986786244233889,5.47415036448343,Overfished
Merluccius productus,b_div_bmsy,2021,3.82592168439494e-08,8.88535600899757,2.11007052239949e-11,0.651330521050862,Overfished
Mugil cephalus,b_div_bmsy,2021,2.3171731975711e-09,7.24509442902292,1.0956564859497e-11,0.193949066131241,Overfished
Paralabrax spp,b_div_bmsy,2021,1.77132197135059,0.173846214300586,1.32062299560864,2.24976202143807,Underfished
Penaeus stylirostris,b_div_bmsy,2021,0.0323886108977778,7.83761174360268,3.09153587215131e-11,1.78955312842765,Overfished
Pleuronectiformes,b_div_bmsy,2021,4.37003254976912e-11,0.652675080440329,4.23064133585678e-11,4.33732100418119e-11,Overfished
Promethichthys prometheus,b_div_bmsy,2021,0.0931964256609592,0.588097149474311,0.0517357476892485,0.156142281992072,Overfished
Seriola spp,b_div_bmsy,2021,9.85810516577621e-10,2.84945068160145,1.42118065792239e-11,5.30316720639671e-08,Overfished
Stomolophus meleagris,b_div_bmsy,2021,0.204472200916137,6.28840218862519,9.7028700072065e-11,2.66429541793179,Overfished
Tetrapturus audax,b_div_bmsy,2021,0.258122989087786,5.86866491691511,1.7217966662267e-10,2.74916715390809,Overfished
Trichiuridae,b_div_bmsy,2021,5.98064627108307e-09,6.4717774579074,7.90375663352072e-11,0.0876128410162181,Overfished
Xiphias gladius,b_div_bmsy,2021,0.721872278290095,1.41493842137572,0.207997497410944,2.32786418031137,Overfished
