variable,year,mean,sd,lower,upper
b_t,1954,137963.928613233,40963.5643410452,77865.6448198486,214192.639981343
b_t,1955,236370.247383884,84606.6796510856,115805.141778677,368765.888349214
b_t,1956,219416.131331406,132037.850123618,86080.1335736335,501006.608081379
b_t,1957,282002.379144827,93719.0170255985,154730.177060856,441701.655508675
b_t,1958,150377.020706132,95689.2802405293,49147.0473135205,346275.304966619
b_t,1959,172659.180299306,123714.538877377,39335.6301606092,388138.410179279
b_t,1960,77433.6678869355,44687.2935318734,26160.3868394697,167136.412932512
b_t,1961,253970.69847972,113537.366113342,127172.274579802,462682.096429596
b_t,1962,67869.5936342451,42739.3406906563,25065.5898808885,148124.644144299
b_t,1963,190855.855593477,88039.3846972586,88480.8621160459,356930.511562191
b_t,1964,50255.5263931414,32917.5863215175,20870.3235348393,109935.314741989
b_t,1965,67626.2596959511,38201.2889915093,19488.20718552,139738.898227263
b_t,1966,98559.0497384764,34441.6554264527,51949.0882074258,155267.236460267
b_t,1967,112623.893511277,35645.0365527167,61001.8891481914,180112.284597384
b_t,1968,95928.448903575,33923.3313498062,59520.9628643155,166607.73979188
b_t,1969,142997.192737184,126130.636445383,52929.1623809955,400544.849888872
b_t,1970,98123.8994742081,45502.072003486,37541.6923923982,181502.45113924
b_t,1971,87651.7238602559,36098.0125651091,42994.4778150991,154591.595290221
b_t,1972,95196.3496818432,66154.159267567,40196.7291753128,219182.341175052
b_t,1973,10162.4182690039,4390.85472904083,4863.09274760164,18065.3709411025
b_t,1974,3093.62400324523,2116.83792723769,1008.8685114534,7830.06645403233
b_t,1975,4628.27709780819,1534.33237548871,2728.64074822017,7207.32456117841
b_t,1976,3405.89013483834,1817.73136320284,1597.37750589332,6902.14169242576
b_t,1977,2904.27940355422,1484.85371423115,1378.36513654863,5652.02499332716
b_t,1978,3892.18051367223,3413.0452060566,1288.45655281046,11639.6458723287
b_t,1979,2827.9908697584,2784.44424615597,755.87812898155,10082.7790675183
b_t,1980,7917.07127479249,4833.0929882354,2864.77426394177,17121.5368221625
b_t,1981,22213.2514562487,13823.9877105171,7310.30031113298,49037.4260766733
b_t,1982,8420.24322227162,4512.7852062665,3461.74488179699,17336.1947014131
b_t,1983,10737.6127018557,4905.98293430845,4974.23294252352,20304.6476005667
b_t,1984,26943.8287133342,11365.3333610288,14365.129801469,48619.5780575125
b_t,1985,42355.2766737691,14056.0405884904,26040.6715814137,69212.3820919399
b_t,1986,40374.1346890014,13419.5921728744,23775.0847535286,64060.4083287367
b_t,1987,9040.24971974202,1586.50482374703,6882.80562642991,11809.321205739
b_t,1988,7980.29547707181,1961.34662026933,5307.90614023049,11610.0774220466
b_t,1989,742.169833548204,31.5336198608701,694.923807333568,781.753616169216
b_t,1990,0.0214889324828038,0.0324333010162294,0.00215888003266472,0.0656102172841672
b_t,1991,0.0875746330624827,0.0405304923722318,0.0489617182555784,0.148031478971298
b_t,1992,0.0839341418275046,0.0247561955111409,0.0560039252570201,0.131134817504162
b_t,1993,0.0857594678103061,0.0306403991032379,0.0510730794728178,0.147317029611283
b_t,1994,0.0905865972686476,0.0319685471307396,0.0521696660588908,0.149818612665846
b_t,1995,0.104167334485763,0.0270785756864936,0.0632885447321137,0.152923779092876
b_t,1996,0.115503374837587,0.0306572701318857,0.0641953087852992,0.164451308824395
b_t,1997,0.0963800443288123,0.0348381060011679,0.0476746437441155,0.160435183241282
b_t,1998,0.649626475617302,0.267671777620265,0.269743521832803,1.09085072193637
b_t,1999,0.104209253812013,0.0385938949071416,0.0644462213542946,0.185036150678278
b_t,2000,0.321961848364526,0.103690850284898,0.170912646560865,0.490495899005435
b_t,2001,0.381877214274104,0.187503122834784,0.208004388881825,0.826637253970101
b_t,2002,6.45683408635485,3.31665490847028,3.3503787861363,14.3918814927152
b_t,2003,48.2563138090947,19.7183980156285,22.8854527512815,93.1488080919247
b_t,2004,396.639744812657,307.616010279543,136.249696579044,1058.96992017761
b_t,2005,544.594254865759,256.44262309903,246.975612254509,1036.37996975546
b_t,2006,792.929376891548,356.481940883647,341.212706978239,1404.07908299684
b_t,2007,4085.65332687481,1929.14825017062,1978.39524364643,7239.75266399369
b_t,2008,2147.03333707409,1653.43439886682,778.050212526846,5150.1414107236
b_t,2009,13360.3531999598,15971.5196841765,3196.86034298803,39874.074407803
b_t,2010,28039.477631882,23920.0430031348,8127.18196653238,68848.9931899477
b_t,2011,49277.6928727038,29579.2831390131,15501.7526243966,108247.448690712
b_t,2012,137361.780168534,62387.5520531574,56830.3044031255,255902.901689014
b_t,2013,79051.462451008,30670.8834315694,45918.4579528593,132206.604984001
b_t,2014,143187.693996233,108106.549201965,35267.7901679911,319533.944563892
b_t,2015,115034.531027216,121181.054343127,20623.8845831156,404764.224913103
b_t,2016,11109.8255047552,12905.0455454979,1093.77379355664,38637.0584609666
b_t,2017,14921.119196558,22759.6023494391,2.08010788193365e-06,62963.9921451399
b_t,2018,29854.0412198538,57530.5598546908,8.74557501045394e-07,168920.229845146
b_t,2019,52531.6784383395,109584.590617843,1.96864870891169e-06,323690.747822136
b_t,2020,6612.59098325775,12537.0087315636,4.57540446074117e-06,35632.9793442554
b_t,2021,8498.28942948373,17925.1129527982,1.88407919124505e-06,49811.4079590407
bmsy,1954,76808.8438334695,24117.1256352954,46667.1348280481,123088.201637791
ck,1954,0.00355118856933479,0.00100118503711011,0.00203106392228159,0.00535709002907676
ck,1955,0.00497166399706871,0.00140165905195415,0.00284348949119423,0.00749992604070747
ck,1956,0.0120740411357383,0.00340402912617437,0.00690561733575741,0.018214106098861
ck,1957,0.0120740411357383,0.00340402912617437,0.00690561733575741,0.018214106098861
ck,1958,0.0113638034218713,0.00320379211875234,0.00649940455130109,0.0171426880930456
ck,1959,0.0120740411357383,0.00340402912617437,0.00690561733575741,0.018214106098861
ck,1960,0.0106535657080044,0.00300355511133032,0.00609319176684477,0.0160712700872303
ck,1961,0.0120740411357383,0.00340402912617437,0.00690561733575741,0.018214106098861
ck,1962,0.00710237713866959,0.00200237007422022,0.00406212784456318,0.0107141800581535
ck,1963,0.0106535657080044,0.00300355511133032,0.00609319176684477,0.0160712700872303
ck,1964,0.00639213942480263,0.00180213306679819,0.00365591506010686,0.00964276205233817
ck,1965,0.00497166399706871,0.00140165905195415,0.00284348949119423,0.00749992604070747
ck,1966,0.00639213942480263,0.00180213306679819,0.00365591506010686,0.00964276205233817
ck,1967,0.00497166399706871,0.00140165905195415,0.00284348949119423,0.00749992604070747
ck,1968,0.00639213942480263,0.00180213306679819,0.00365591506010686,0.00964276205233817
ck,1969,0.00781261485253655,0.00220260708164224,0.0044683406290195,0.0117855980639689
ck,1970,0.00568190171093567,0.00160189605937617,0.00324970227565055,0.00857134404652282
ck,1971,0.00426142628320175,0.00120142204453213,0.00243727670673791,0.00642850803489211
ck,1972,0.00284095085546784,0.000800948029688086,0.00162485113782527,0.00428567202326141
ck,1973,0.00142047542773392,0.000400474014844043,0.000812425568912636,0.00214283601163071
ck,1974,0.000234378445576096,6.60782124492671e-05,0.000134050218870585,0.000353567941919066
ck,1975,0.000156252297050731,4.40521416328447e-05,8.936681258039e-05,0.000235711961279378
ck,1976,0.00034801647979481,9.81161336367906e-05,0.000199044264383596,0.000524994822849523
ck,1977,0.000291197462685453,8.20971730430288e-05,0.00016654724162709,0.000439281382384294
ck,1978,0.000326709348378801,9.21090234141299e-05,0.000186857880849906,0.000492852282675062
ck,1979,0.000276992708408114,7.80924328945884e-05,0.000158422985937964,0.000417853022267987
ck,1980,0.00149860157625928,0.000422500085660465,0.000857108975202831,0.00226069199227039
ck,1981,0.00148439682198194,0.000418495345512025,0.000848984719513705,0.00223926363215409
ck,1982,0.0012855302620992,0.000362428983433859,0.000735245139865936,0.00193926659052579
ck,1983,0.00124291599926718,0.000350414762988538,0.000710872372798557,0.00187498151017687
ck,1984,0.00068893058245095,0.000194229897199361,0.000394026400922629,0.00103927546564089
ck,1985,0.0121095530214316,0.00341404097654547,0.00692592797498022,0.0182676769991518
ck,1986,0.00428273341461776,0.00120742915475479,0.0024494630902716,0.00646065057506658
ck,1987,0.0051847353112288,0.00146173015418076,0.00296535332653112,0.00782135144245207
ck,1988,0.00409807160901235,0.00115536753282506,0.00234384776631296,0.00618208189355458
ck,1989,0.00583105163084773,0.0016439458309348,0.00333500696038637,0.00879634182774404
ck,1990,7.10237713866959e-09,2.00237007422022e-09,4.06212784456318e-09,1.07141800581535e-08
ck,1991,7.10237713866959e-09,2.00237007422022e-09,4.06212784456318e-09,1.07141800581535e-08
ck,1992,7.10237713866959e-09,2.00237007422022e-09,4.06212784456318e-09,1.07141800581535e-08
ck,1993,7.10237713866959e-09,2.00237007422022e-09,4.06212784456318e-09,1.07141800581535e-08
ck,1994,7.10237713866959e-09,2.00237007422022e-09,4.06212784456318e-09,1.07141800581535e-08
ck,1995,7.10237713866959e-09,2.00237007422022e-09,4.06212784456318e-09,1.07141800581535e-08
ck,1996,7.10237713866959e-09,2.00237007422022e-09,4.06212784456318e-09,1.07141800581535e-08
ck,1997,7.10237713866959e-09,2.00237007422022e-09,4.06212784456318e-09,1.07141800581535e-08
ck,1998,7.10237713866959e-09,2.00237007422022e-09,4.06212784456318e-09,1.07141800581535e-08
ck,1999,7.10237713866959e-09,2.00237007422022e-09,4.06212784456318e-09,1.07141800581535e-08
ck,2000,7.10237713866959e-09,2.00237007422022e-09,4.06212784456318e-09,1.07141800581535e-08
ck,2001,7.10237713866959e-09,2.00237007422022e-09,4.06212784456318e-09,1.07141800581535e-08
ck,2002,7.10237713866959e-06,2.00237007422022e-06,4.06212784456318e-06,1.07141800581535e-05
ck,2003,1.42047542773392e-05,4.00474014844043e-06,8.12425568912636e-06,2.1428360116307e-05
ck,2004,2.13071314160088e-05,6.00711022266065e-06,1.21863835336895e-05,3.21425401744606e-05
ck,2005,9.94332799413742e-05,2.8033181039083e-05,5.68697898238845e-05,0.000149998520814149
ck,2006,0.000106535657080044,3.00355511133032e-05,6.09319176684477e-05,0.000160712700872303
ck,2007,0.00299720315251857,0.000845000171320931,0.00171421795040566,0.00452138398454079
ck,2008,0.000490064022568202,0.000138163535121195,0.00028028682127486,0.000739278424012593
ck,2009,0.000461654514013523,0.000130154054824314,0.000264038309896607,0.000696421703779979
ck,2010,0.000482961645429532,0.000136161165046975,0.000276224693430296,0.00072856424395444
ck,2011,0.0720607184489416,0.0203160467730383,0.041214349110938,0.108706070870026
ck,2012,0.0642978202363758,0.0181274562819156,0.0367744433768305,0.0969954720664639
ck,2013,0.048729409548412,0.0137382610792249,0.027870259141548,0.0735099893789913
ck,2014,0.0747312122530814,0.0210689379209451,0.0427417091804938,0.112734602571891
ck,2015,0.0757823640696045,0.0213652886919297,0.0433429041014891,0.114320301220498
ck,2016,0.0448373068764211,0.0126409622785522,0.0256442130827274,0.0676386187071232
ck,2017,0.0841205548304026,0.0237160711590642,0.0481118421910063,0.12689874860877
ck,2018,0.050213806370394,0.0141567564247369,0.0287192438610617,0.0757492530111454
ck,2019,0.0632466684198527,0.017831105510931,0.0361732484558351,0.0954097734178571
ck,2020,0.0603376767913964,0.0170109747759319,0.0345094821332589,0.0910214595496386
ck,2021,0.0651438554011341,0.0183659786051567,0.0372583240456749,0.0982717451949911
crashed,1954,0,0,0,0
delta,1954,100,0,100,100
dep_t,1954,0.903643284148726,0.0972985626026471,0.749304570750361,1.02719645543705
dep_t,1955,1.51812422830856,0.243202397892009,1.16621411153544,1.94249963984836
dep_t,1956,1.34605960612965,0.400783188980928,0.642826264507344,2.06404873500193
dep_t,1957,1.84345325144878,0.302321330094198,1.37636715499988,2.29913267728484
dep_t,1958,0.985077004124439,0.4877643079756,0.305091398166956,1.89222575182705
dep_t,1959,1.05969569069724,0.532761918789521,0.315504763846788,1.90215931574557
dep_t,1960,0.501782157832705,0.21549058560209,0.178025238665849,0.862765224943215
dep_t,1961,1.63892712292846,0.396689543408219,0.846110487798619,2.16049107329965
dep_t,1962,0.422736900071155,0.156703088004453,0.211854531503258,0.678336812149178
dep_t,1963,1.25413100808339,0.417326621877258,0.652035209708569,1.97881828030188
dep_t,1964,0.330054567013864,0.17256125334391,0.126702561688549,0.672847532073906
dep_t,1965,0.421389609060443,0.173179606780728,0.184321611271139,0.733723831569997
dep_t,1966,0.689739935964111,0.286181758015261,0.323240519504098,1.22176504365623
