variable,year,mean,sd,lower,upper
b_t,1970,54597.4406470472,37373.140288957,30633.473827371,89129.9129271417
b_t,1971,41520.951874059,33722.4024144935,23780.6386150872,74276.9778952875
b_t,1972,47839.1252885192,39463.1871428311,25538.3562001691,88261.3393032656
b_t,1973,67395.6872845908,65973.6864843139,34306.6381198604,125372.267253028
b_t,1974,43893.2728352148,37198.2933048844,23182.8512696216,80872.8982353098
b_t,1975,43117.279181499,38497.411939108,23740.9810427483,76319.521657015
b_t,1976,53678.1580502791,46429.9342404687,27157.7436026695,94964.3597957779
b_t,1977,48017.6917778223,38473.3203164657,24930.2340794426,87159.0931636082
b_t,1978,54468.0989698172,42022.9911710176,27574.5527823942,93147.8020339903
b_t,1979,61101.7211123235,54039.4273696208,31624.5207905942,110049.272141798
b_t,1980,55371.0737997835,46515.5261160454,28452.0037048284,98363.8943764212
b_t,1981,70690.5336009804,60721.980442236,37331.6057338714,125604.57339109
b_t,1982,66750.4804967844,64483.5877711674,32855.2280694069,123518.034634021
b_t,1983,53060.7362057422,46433.7793428467,28781.2303362449,100151.186479436
b_t,1984,45165.6855017232,36840.690185159,20975.3200574739,85297.7099417019
b_t,1985,47426.4618297968,41670.6051813586,24347.8458111992,84227.029133024
b_t,1986,40855.6696639735,39256.9613600404,21503.7560643785,73046.8450262603
b_t,1987,37911.1303682091,32597.7699956802,20322.9946868169,67436.3448380685
b_t,1988,41580.6171121325,34773.654991746,22015.5037732103,76369.7652894443
b_t,1989,45289.8722120316,38686.4767619027,23171.7736677523,82760.6347568767
b_t,1990,52429.6823686608,43964.2634272253,29376.7087334518,95063.343428861
b_t,1991,47206.5330634508,43338.6397338352,25149.8102540203,87176.6534967769
b_t,1992,45533.6761745057,40280.115943258,24305.3713953153,80954.6970285593
b_t,1993,49922.8593267976,42523.625788186,26855.9492294244,91521.2231336178
b_t,1994,37949.5864003833,30567.9311674415,20378.2677341939,66941.470698303
b_t,1995,34603.1884041611,31263.6105409927,18098.097726608,63245.0841967602
b_t,1996,27838.2300717185,24423.4782591376,14445.8148994234,50735.7278596886
b_t,1997,18811.2389734085,16669.5947696893,9863.25370697743,33606.8422001222
b_t,1998,16032.1100406679,14727.7324625555,8706.45753381407,29015.2024306037
b_t,1999,14957.5507031766,12485.6792282373,7928.28193161428,26714.7585494562
b_t,2000,17621.2946505514,14956.2885359438,9457.21571427851,32343.9709784088
b_t,2001,16138.7872962456,14183.580981632,8941.86085586175,29829.0460219489
b_t,2002,14543.2311091425,11839.4237378534,8288.40665762287,26338.606481415
b_t,2003,18401.9461034564,15900.6092878769,10325.7605337177,33508.2386154617
b_t,2004,17040.0293418991,14189.8270176399,8874.45227959747,31039.6220041451
b_t,2005,16302.2498869583,13942.2996056708,9408.10316187207,29611.2326961626
b_t,2006,16408.2546137725,13887.7085632969,8837.83118827023,29420.0596078881
b_t,2007,15153.1742284744,12531.7519995809,8463.4099648672,27304.6772877789
b_t,2008,14057.6196399256,11444.5062806994,7426.42605008957,25346.7905999336
b_t,2009,16442.8901774299,14596.4907741722,8848.26748526201,29580.2907757512
b_t,2010,14177.7549047045,11910.5392479841,7458.48834732072,25254.6615835338
b_t,2011,12834.9769864945,10268.4514581372,6848.87784635589,22797.774223164
b_t,2012,12823.8341873208,10011.8356187208,6996.50289238736,22638.6997458348
b_t,2013,12559.5782683357,10296.0772947442,6507.43153948111,23110.121183107
b_t,2014,15451.9992654933,13125.2221012566,8366.50530089724,27488.0733179286
b_t,2015,19947.4907292664,16779.3250570277,10456.7713338507,37889.999712143
b_t,2016,22000.2337077765,20513.4115270864,8835.26162951769,45293.7662797404
b_t,2017,23167.868315448,24544.3780840069,6681.5132853862,53493.484160994
b_t,2018,24353.8675213849,32038.2634876059,4673.56720276777,59497.1618850235
b_t,2019,24325.7776576474,31929.1870238817,1157.70552538512,67310.9796727527
b_t,2020,25884.7171041176,34189.5826849484,1.14266600794473e-06,73730.3921126044
b_t,2021,26101.3231025166,33386.77202506,7.86902574733531e-07,77985.7169494573
bmsy,1970,31396.6147214214,20886.4096654997,19235.1173858809,50354.716766637
ck,1970,0.0383355262027929,0.0105909987939427,0.0208520795148717,0.0545876582959513
ck,1971,0.0511140349370572,0.014121331725257,0.0278027726864956,0.0727835443946017
ck,1972,0.043812029946049,0.0121039986216488,0.0238309480169963,0.0623858951953729
ck,1973,0.0620670424235694,0.0171473313806692,0.0337605096907447,0.0883800181934449
ck,1974,0.0783687685659952,0.0216510275344744,0.0426276082654021,0.111592770030723
ck,1975,0.0674157610794829,0.0186250278790622,0.036669871261153,0.09599629623188
ck,1976,0.0830785617851954,0.0229522073863016,0.0451894351772291,0.118299253764226
ck,1977,0.0990151876780708,0.0273550368849264,0.0538579425184115,0.140992123141543
ck,1978,0.146715535281832,0.0405332653842466,0.0798038871719162,0.208914766535505
ck,1979,0.166796049007104,0.0460809314191689,0.0907264050130395,0.237508301833384
ck,1980,0.164605447509802,0.0454757314880865,0.0895348576121897,0.234389007073615
ck,1981,0.2033425839871,0.0561776836027277,0.110605387483884,0.289548536075524
ck,1982,0.17632516552037,0.0487135511193776,0.0959096362067362,0.251077234038378
ck,1983,0.102045519749339,0.0281922301229238,0.0555062497562538,0.145307147559223
ck,1984,0.111629401300037,0.0308399798214094,0.0607192696349717,0.15895406213321
ck,1985,0.123933279709886,0.0342391861009892,0.0674117942030782,0.176474101033911
ck,1986,0.105459207082635,0.0291353333488606,0.0573630777892447,0.150168048559862
ck,1987,0.0966055260310381,0.0266893169607357,0.0525472403774767,0.137560898905797
ck,1988,0.119497311677849,0.0330136562405472,0.0649989107163573,0.170157529145379
ck,1989,0.118365500904242,0.0327009696094879,0.0643832778925849,0.168545893519499
ck,1990,0.17168839235108,0.0474325445985864,0.0933875275416041,0.244474726796867
ck,1991,0.142170037174929,0.0392774755272505,0.0773314263151529,0.202442229908985
ck,1992,0.112615171973823,0.0311123197903965,0.0612554659653541,0.160357744775106
ck,1993,0.123476904397948,0.0341131027820136,0.0671635551612345,0.175824247958959
ck,1994,0.10925624967796,0.0301843465627368,0.0594284266173844,0.155574826143461
ck,1995,0.115627249032614,0.0319444696956349,0.0628938436415226,0.164646775069788
ck,1996,0.106773567981017,0.02949845330751,0.0580780062297546,0.152039625415723
ck,1997,0.0635639534467261,0.0175608846669089,0.0345747337479921,0.0905115362792868
ck,1998,0.054545977282831,0.0150694782839528,0.0296695302811603,0.0776704395182392
ck,1999,0.0509132297998045,0.0140658550649078,0.0276935475080844,0.0724976090416229
ck,2000,0.0585985900528406,0.0161890981564553,0.0318738929727325,0.0834411348238112
ck,2001,0.0521910806732309,0.0144188883580392,0.0283886168252468,0.0743171976514879
ck,2002,0.044724780569925,0.0123561652595999,0.0243274261006837,0.0636856013452765
ck,2003,0.0547650374325613,0.0151299982770611,0.0297886850212453,0.0779823689942161
ck,2004,0.0596573807765367,0.0164816114564785,0.0324498075498099,0.0849487939576994
ck,2005,0.0554952379316621,0.0153317315874219,0.0301858674881953,0.079022133914139
ck,2006,0.0579414096036498,0.0160075381771306,0.0315164287524775,0.0825053463958806
ck,2007,0.0578683895537397,0.0159873648460945,0.0314767105057826,0.0824013699038883
ck,2008,0.0405991477500054,0.0112163720560613,0.0220833451624165,0.0578109295477122
ck,2009,0.0595843607266267,0.0164614381254424,0.0324100893031149,0.0848448174657071
ck,2010,0.0517894703987254,0.0143079350373407,0.0281701664684243,0.0737453269455303
ck,2011,0.0499457141384959,0.0137985584286797,0.0271672807393757,0.0711199205227251
ck,2012,0.0535419515965674,0.0147920949822067,0.0291234043891042,0.0762407627533453
ck,2013,0.0283317793651117,0.00782725244199958,0.0154106797176576,0.0403428788930078
ck,2014,0.0548198024699938,0.0151451282753381,0.0298184737062666,0.0780603513632103
ck,2015,0.0782409834786525,0.0216157242051612,0.0425581013336858,0.111410811169737
ck,2016,0.0932100937102193,0.0257512570675579,0.0507003419061595,0.132725992028156
ck,2017,0.0868390943555647,0.0239911339346598,0.0472349248820213,0.123654043101829
ck,2018,0.104400416358939,0.0288428200488374,0.0567871632121673,0.148660389425974
ck,2019,0.0713405887621498,0.0197093444222515,0.0388047270210089,0.101585032676465
ck,2020,0.068058885169066,0.0188027044921624,0.0370196897189191,0.0969120691851021
ck,2021,0.0734808064250143,0.0203006247549191,0.0399688688316392,0.104632583656759
crashed,1970,0,0,0,0
delta,1970,100,0,100,100
dep_t,1970,0.866014704077843,0.0752136585483321,0.736277597053681,0.990319868895173
dep_t,1971,0.652209821873197,0.128279992248602,0.454973695323229,0.857119162379518
dep_t,1972,0.746931937643542,0.154484727742592,0.511739534247039,0.990327808433327
dep_t,1973,1.03339445096445,0.286533069495765,0.644108878225336,1.5691879971767
dep_t,1974,0.681156270071388,0.146160217775733,0.475665268865875,0.951257651256558
dep_t,1975,0.671416291063404,0.132860981040882,0.48634936815289,0.898385276949393
dep_t,1976,0.838747242966672,0.187672602342615,0.569977973456918,1.17897288472961
dep_t,1977,0.749152374587671,0.152042272951971,0.552002367216008,1.01108357691534
dep_t,1978,0.857443912702548,0.171489864068936,0.614026953475772,1.16713305846732
dep_t,1979,0.944319301469801,0.194193863440489,0.664850161281858,1.28540246193242
dep_t,1980,0.864213994270711,0.177431682356414,0.637655863879116,1.17993649536458
dep_t,1981,1.09747356550389,0.206144127756138,0.818696838187445,1.45599674251931
dep_t,1982,1.02334089937585,0.211055018021414,0.752858156155102,1.40599773596056
dep_t,1983,0.818258120807633,0.173884160309206,0.576901884615646,1.11722123300712
dep_t,1984,0.702473904359513,0.160293249016195,0.459868923536041,0.963514519991236
dep_t,1985,0.73774911623341,0.172623066955097,0.471662487756513,1.02447485206687
dep_t,1986,0.631853541465197,0.133609319258423,0.444455846337467,0.858803724055905
dep_t,1987,0.590228413327587,0.122617242262498,0.39500464793733,0.787427660705018
dep_t,1988,0.650301466023849,0.140219441812116,0.443452107117793,0.883207792072258
dep_t,1989,0.70587697219393,0.150345520158599,0.504037913414601,0.95041424881565
dep_t,1990,0.820565237483085,0.162927483398862,0.599835328552527,1.09413710709396
dep_t,1991,0.727437752609005,0.142958871614503,0.537216363397467,0.983273937525938
dep_t,1992,0.706853177732906,0.145907317847827,0.507089326441408,0.946403737226965
dep_t,1993,0.775071922415234,0.160719385394032,0.566237741797151,1.04201347085237
