variable,year,mean,sd,lower,upper
b_t,2005,147087.53398055,145776.012789142,32404.6569364607,395171.461528758
b_t,2006,101867.67244005,109608.186797561,17737.3217021883,280703.135736379
b_t,2007,117611.744719567,125581.018608946,21122.4745767656,332973.666784429
b_t,2008,172786.484312861,184588.88488116,29733.5031430134,489295.735562604
b_t,2009,199749.14400168,211665.922592443,34797.2504291228,561729.963804407
b_t,2010,184481.679205923,196681.888947637,33367.394402399,504415.206676721
b_t,2011,173493.89580287,194749.494639735,32002.8977539594,485346.224492513
b_t,2012,193085.355473407,206878.572193445,34059.2104663841,533668.651136558
b_t,2013,232458.95670765,254501.01605472,41295.9731816967,639365.579299702
b_t,2014,203792.935901968,213287.785352051,37705.7529799832,571270.572915974
b_t,2015,214918.954864045,233754.723594131,34953.6266884156,612515.41453902
b_t,2016,167361.589681589,200096.00334604,21454.7149331128,497747.928236559
b_t,2017,151307.616051052,201656.809859315,16489.4011298847,436058.2026273
b_t,2018,139523.886807413,177032.837347428,11809.4477937363,411665.721063103
b_t,2019,133092.946335147,170801.513527193,6644.53862927371,415772.406362012
b_t,2020,131597.543984792,179834.397642489,3308.3604774847,405011.898303022
b_t,2021,126807.362405161,166519.186008273,1.00024701987056e-05,411827.456134079
bmsy,2005,89421.7130835728,88925.4875943376,19466.229396514,237641.502597501
ck,2005,0.0115087679361169,0.00902407077489076,0.00235859649320731,0.0287934550004517
ck,2006,0.0120220938922327,0.0094265717015139,0.00246379705044225,0.0300777304242007
ck,2007,0.0212927606596845,0.0166957384363278,0.00436371911410523,0.053271744577107
ck,2008,0.0410044773745323,0.0321517740186563,0.00840342051192686,0.102587920849067
ck,2009,0.0425136556855129,0.0333351267429283,0.00871271015019758,0.106363690594889
ck,2010,0.0464867985858494,0.0364504839149914,0.009526962463196,0.116303982374706
ck,2011,0.0443955086406335,0.0348106951399287,0.00909837539302086,0.111071844298353
ck,2012,0.0527011226105876,0.0413231601326911,0.0108005204090822,0.131851420654611
ck,2013,0.0553160050310416,0.0433734998529094,0.0113364120476369,0.138393519663188
ck,2014,0.060551929783423,0.0474790093044654,0.0124094577314333,0.151493128985428
ck,2015,0.0572255775877925,0.0448708032999475,0.0117277581205509,0.143171024239534
ck,2016,0.051989652835411,0.0407652938483914,0.0106547124367545,0.130071414917295
ck,2017,0.0546281482498464,0.0428341486112344,0.0111954433009421,0.136672590595365
ck,2018,0.0765112953581789,0.05999281141329,0.0156801556799344,0.191421406022834
ck,2019,0.0541531164100568,0.0424616742537373,0.0110980907052769,0.135484122118227
ck,2020,0.0577445911955021,0.0452777639368376,0.01183412429996,0.144469529434978
ck,2021,0.0583120833065072,0.045722736761238,0.0119504256199944,0.145889321601441
crashed,2005,0,0,0,0
delta,2005,100,0,100,100
dep_t,2005,0.826001169543134,0.0817727692857329,0.700085832768912,0.962815346590039
dep_t,2006,0.560645485321899,0.172388441407553,0.331748559757813,0.849180743869477
dep_t,2007,0.65191385124669,0.208329909704627,0.366621769236069,0.996479213844866
dep_t,2008,0.950913383657511,0.293735556629665,0.536333209714961,1.43668959300757
dep_t,2009,1.10363530770644,0.327419783689144,0.622266662231715,1.67491514530357
dep_t,2010,1.03688178554138,0.318689672563487,0.576594787561667,1.59778657234185
dep_t,2011,0.964037738478435,0.283794446219848,0.550053030952319,1.46913172875235
dep_t,2012,1.0670381778617,0.304054041193335,0.628184968410215,1.58964403291931
dep_t,2013,1.2654141105566,0.338799675958723,0.767552458965079,1.8409331113727
dep_t,2014,1.12115940937379,0.318860872501732,0.659024908338985,1.66234507218072
dep_t,2015,1.17603515636763,0.386672142080525,0.652286216640953,1.85718393393832
dep_t,2016,0.901193362990123,0.422656796190579,0.355880143354751,1.63000426424266
dep_t,2017,0.797430104218087,0.411186683710235,0.268565948758984,1.5065969452183
dep_t,2018,0.744139465788988,0.408122779974405,0.212094781904188,1.44441899190614
dep_t,2019,0.690718816110108,0.409385525392562,0.121666337070893,1.39262780448478
dep_t,2020,0.670810451013184,0.422846122707799,0.0592622032854261,1.3853854084378
dep_t,2021,0.646264082748315,0.425354046268292,8.60902576005373e-11,1.37458357878471
growth_t,2005,0.0895087181906799,0.0413117960318719,0.021492070305174,0.152179712887814
growth_t,2006,0.142143627540611,0.0641992726896256,0.0755328246758311,0.210865686970028
growth_t,2007,0.120976265721401,0.0919881687214904,0.00301117080407785,0.204256322162588
growth_t,2008,-0.0190492037651416,0.220380051110806,-0.381227777124754,0.177760088785095
growth_t,2009,-0.133237313976295,0.286283448608968,-0.669704820774438,0.162948389134768
growth_t,2010,-0.0815340452437715,0.255606040259016,-0.59285295063804,0.170250100916503
growth_t,2011,-0.021524942553928,0.20382682433339,-0.409967556209764,0.17890286697309
growth_t,2012,-0.0949903191266622,0.251023757857278,-0.567173496226825,0.16112929054055
growth_t,2013,-0.274972936455206,0.34639696958706,-0.946920340720103,0.124307082403263
growth_t,2014,-0.138424733777526,0.278513662787222,-0.652054611221081,0.157731953964785
growth_t,2015,-0.222479915005157,0.4427730977514,-0.963628751111855,0.151635617623463
growth_t,2016,-0.0507744463072524,0.409663441983814,-0.654971818840235,0.192187063380518
growth_t,2017,-0.00598332980786498,0.431991621755318,-0.501577160452908,0.192130228593816
growth_t,2018,0.0183391169724466,0.300932265889902,-0.410072819896726,0.194504849240769
growth_t,2019,0.0285207610912207,0.311179351553205,-0.338305538263802,0.191484825785493
growth_t,2020,0.0288140029680592,0.305745846557074,-0.363595746960798,0.192699787265404
growth_t,2021,0.029767931473329,0.306606286400244,-0.330921653143808,0.188170136875898
index_hat_t,2005,147087.53398055,145776.012789142,32404.6569364607,395171.461528758
index_hat_t,2006,101867.67244005,109608.186797561,17737.3217021883,280703.135736379
index_hat_t,2007,117611.744719567,125581.018608946,21122.4745767656,332973.666784429
index_hat_t,2008,172786.484312861,184588.88488116,29733.5031430134,489295.735562604
index_hat_t,2009,199749.14400168,211665.922592443,34797.2504291228,561729.963804407
index_hat_t,2010,184481.679205923,196681.888947637,33367.394402399,504415.206676721
index_hat_t,2011,173493.89580287,194749.494639735,32002.8977539594,485346.224492513
index_hat_t,2012,193085.355473407,206878.572193445,34059.2104663841,533668.651136558
index_hat_t,2013,232458.95670765,254501.01605472,41295.9731816967,639365.579299702
index_hat_t,2014,203792.935901968,213287.785352051,37705.7529799832,571270.572915974
index_hat_t,2015,214918.954864045,233754.723594131,34953.6266884156,612515.41453902
index_hat_t,2016,167361.589681589,200096.00334604,21454.7149331128,497747.928236559
index_hat_t,2017,151307.616051052,201656.809859315,16489.4011298847,436058.2026273
index_hat_t,2018,139523.886807413,177032.837347428,11809.4477937363,411665.721063103
index_hat_t,2019,133092.946335147,170801.513527193,6644.53862927371,415772.406362012
index_hat_t,2020,131597.543984792,179834.397642489,3308.3604774847,405011.898303022
index_hat_t,2021,126807.362405161,166519.186008273,1.00024701987056e-05,411827.456134079
k,2005,178843.426167146,177850.975188675,38932.4587930281,475283.005195001
log_b,2005,11.5748852701044,0.783476042271456,10.3860573998022,12.8870745879567
log_b,2006,11.1476236029215,0.868126489016498,9.78342595648336,12.5450528758375
log_b,2007,11.2927269453316,0.86470875582845,9.95809289840091,12.7158186015497
log_b,2008,11.6722871642442,0.871580547863615,10.3000281510241,13.1007223618534
log_b,2009,11.8236278014918,0.863580632974073,10.4572936333179,13.2387765066133
log_b,2010,11.7571128855947,0.848312894634609,10.4153344670512,13.1311549204487
log_b,2011,11.689705433308,0.848899300716124,10.3735815163973,13.0926177690809
log_b,2012,11.7940060866875,0.858692927476798,10.4358556256552,13.1875303435744
log_b,2013,11.9691341558925,0.865736246691803,10.6285202490808,13.3682315365621
log_b,2014,11.8436966394047,0.864347722452731,10.5375678966145,13.255618138394
log_b,2015,11.8797367764912,0.890339605767792,10.4617774781241,13.3253290449686
log_b,2016,11.3831505458914,2.39446066917791,9.97369942646768,13.1178489311582
log_b,2017,11.1672317077806,2.71630087544261,9.71046787083522,12.9855309469349
log_b,2018,10.9035951904159,3.44733535909783,9.37665403352425,12.9279625191983
log_b,2019,10.5135008882757,4.41463239141754,8.80152660306565,12.9378932894306
log_b,2020,10.1164764350662,5.35826575780559,8.10411851213258,12.911671673489
log_b,2021,9.72348684943332,6.11553374782185,-11.5127836086744,12.928359712601
log_b_div_bmsy,2005,0.497079314914928,0.0992593434816222,0.336594846764583,0.655253540661338
log_b_div_bmsy,2006,0.069817647732052,0.299652154611619,-0.410232152909417,0.529663939139392
log_b_div_bmsy,2007,0.214920990142139,0.321823367337315,-0.31027738648465,0.689620181290778
log_b_div_bmsy,2008,0.594481209054763,0.316928649454632,0.070147441390359,1.05548868364876
log_b_div_bmsy,2009,0.745821846302362,0.309858256484441,0.218760562198233,1.20890946649741
log_b_div_bmsy,2010,0.679306930405284,0.326561406032507,0.142531613124938,1.16176639417592
log_b_div_bmsy,2011,0.611899478118581,0.305195982145546,0.0954065858968077,1.07781874421258
log_b_div_bmsy,2012,0.716200131498089,0.295620774166986,0.228226234118796,1.15665729206663
log_b_div_bmsy,2013,0.891328200703062,0.278046752542934,0.428597953009939,1.30341966437984
log_b_div_bmsy,2014,0.765890684215304,0.294264271403487,0.276153227950517,1.20137604433413
log_b_div_bmsy,2015,0.801930821301801,0.33094779295173,0.265875334240644,1.31220850346592
log_b_div_bmsy,2016,0.305344590702007,2.22478482811898,-0.340014100279954,1.18172981088414
log_b_div_bmsy,2017,0.0894257525911834,2.56470964048498,-0.621511834604553,1.10300040991911
log_b_div_bmsy,2018,-0.174210764773523,3.32133532017008,-0.857585591675578,1.06085421286418
log_b_div_bmsy,2019,-0.564305066913729,4.22835796524083,-1.41332611640623,1.02433964503196
log_b_div_bmsy,2020,-0.961329520123282,5.12696716741293,-2.13263837816318,1.01912554435886
log_b_div_bmsy,2021,-1.35431910575612,5.86866491691511,-22.4824826109146,1.01129801268488
log_c_div_msy,2005,-2.91732194492865,0.801863970962852,-4.25872449972315,-1.73179859830981
log_c_div_msy,2006,-2.87368500440309,0.801863970962852,-4.21508755919759,-1.68816165778425
log_c_div_msy,2007,-2.30206397921134,0.801863970962852,-3.64346653400584,-1.1165406325925
log_c_div_msy,2008,-1.64674985402505,0.801863970962852,-2.98815240881955,-0.461226507406211
log_c_div_msy,2009,-1.61060578445524,0.801863970962852,-2.95200833924974,-0.425082437836404
log_c_div_msy,2010,-1.52126274811779,0.801863970962852,-2.86266530291229,-0.335739401498953
log_c_div_msy,2011,-1.56729281144489,0.801863970962852,-2.90869536623939,-0.381769464826052
log_c_div_msy,2012,-1.39579436179477,0.801863970962852,-2.73719691658928,-0.210271015175937
log_c_div_msy,2013,-1.34736883047055,0.801863970962852,-2.68877138526506,-0.161845483851717
log_c_div_msy,2014,-1.25692977862559,0.801863970962852,-2.59833233342009,-0.0714064320067502
log_c_div_msy,2015,-1.31343015995892,0.801863970962852,-2.65483271475342,-0.127906813340078
log_c_div_msy,2016,-1.4093864041768,0.801863970962852,-2.7507889589713,-0.22386305755796
log_c_div_msy,2017,-1.35988183340444,0.801863970962852,-2.70128438819894,-0.174358486785602
log_c_div_msy,2018,-1.02299273734995,0.801863970962852,-2.36439529214445,0.162530609268891
log_c_div_msy,2019,-1.36861559580065,0.801863970962852,-2.71001815059516,-0.183092249181816
log_c_div_msy,2020,-1.30440143296061,0.801863970962852,-2.64580398775511,-0.11887808634177
log_c_div_msy,2021,-1.29462178631098,0.801863970962852,-2.63602434110548,-0.109098439692138
log_depletion,2005,-0.196067865645017,0.0992593434816222,-0.356552333795363,-0.0378936398986071
log_depletion,2006,-0.623329532827893,0.299652154611619,-1.10337933346936,-0.163483241420553
log_depletion,2007,-0.478226190417806,0.321823367337315,-1.00342456704459,-0.003526999269167
log_depletion,2008,-0.0986659715051822,0.316928649454632,-0.622999739169586,0.362341503088817
log_depletion,2009,0.0526746657424167,0.309858256484441,-0.474386618361712,0.51576228593746
log_depletion,2010,-0.0138402501546612,0.326561406032507,-0.550615567435007,0.468619213615977
log_depletion,2011,-0.0812477024413645,0.305195982145546,-0.597740594663138,0.384671563652637
log_depletion,2012,0.0230529509381442,0.295620774166986,-0.464920946441149,0.463510111506682
log_depletion,2013,0.198181020143117,0.278046752542934,-0.264549227550006,0.610272483819893
log_depletion,2014,0.072743503655359,0.294264271403487,-0.416993952609428,0.508228863774187
log_depletion,2015,0.108783640741856,0.33094779295173,-0.427271846319301,0.619061322905974
log_depletion,2016,-0.387802589857939,2.22478482811898,-1.0331612808399,0.488582630324192
log_depletion,2017,-0.603721427968762,2.56470964048498,-1.3146590151645,0.409853229359167
log_depletion,2018,-0.867357945333469,3.32133532017008,-1.55073277223552,0.367707032304236
log_depletion,2019,-1.25745224747367,4.22835796524083,-2.10647329696618,0.331192464472019
log_depletion,2020,-1.65447670068323,5.12696716741293,-2.82578555872313,0.325978363798913
log_depletion,2021,-2.04746628631607,5.86866491691511,-23.1756297914746,0.318150832124936
log_ihat,2005,11.5748852701044,0.783476042271456,10.3860573998022,12.8870745879567
log_ihat,2006,11.1476236029215,0.868126489016498,9.78342595648336,12.5450528758375
log_ihat,2007,11.2927269453316,0.86470875582845,9.95809289840091,12.7158186015497
log_ihat,2008,11.6722871642442,0.871580547863615,10.3000281510241,13.1007223618534
log_ihat,2009,11.8236278014918,0.863580632974073,10.4572936333179,13.2387765066133
log_ihat,2010,11.7571128855947,0.848312894634609,10.4153344670512,13.1311549204487
log_ihat,2011,11.689705433308,0.848899300716124,10.3735815163973,13.0926177690809
log_ihat,2012,11.7940060866875,0.858692927476798,10.4358556256552,13.1875303435744
log_ihat,2013,11.9691341558925,0.865736246691803,10.6285202490808,13.3682315365621
log_ihat,2014,11.8436966394047,0.864347722452731,10.5375678966145,13.255618138394
log_ihat,2015,11.8797367764912,0.890339605767792,10.4617774781241,13.3253290449686
log_ihat,2016,11.3831505458914,2.39446066917791,9.97369942646768,13.1178489311582
log_ihat,2017,11.1672317077806,2.71630087544261,9.71046787083522,12.9855309469349
log_ihat,2018,10.9035951904159,3.44733535909783,9.37665403352425,12.9279625191983
log_ihat,2019,10.5135008882757,4.41463239141754,8.80152660306565,12.9378932894306
log_ihat,2020,10.1164764350662,5.35826575780559,8.10411851213258,12.911671673489
log_ihat,2021,9.72348684943332,6.11553374782185,-11.5127836086744,12.928359712601
log_sigma_ratio,2005,-0.00706369335689663,0.0499508686424104,-0.0870644531892093,0.0742171426010324
log_u_div_umsy,2005,-3.41440125984358,0.803337814689728,-4.75789159239498,-2.20659763892866
log_u_div_umsy,2006,-2.94350265213514,0.876932084746065,-4.38687123219745,-1.5644809363714
log_u_div_umsy,2007,-2.51698496935347,0.874220995124283,-3.94295793875039,-1.17717273118694
log_u_div_umsy,2008,-2.24123106307981,0.87772854601327,-3.68237510739898,-0.871694639442188
log_u_div_umsy,2009,-2.3564276307576,0.868421423305701,-3.76651465097056,-1.00554533295193
log_u_div_umsy,2010,-2.20056967852307,0.853757222776158,-3.57412177133454,-0.877865462654019
log_u_div_umsy,2011,-2.17919228956347,0.851919139793603,-3.59612545017982,-0.875926235073147
log_u_div_umsy,2012,-2.11199449329286,0.861932579958271,-3.52324164529589,-0.766718399458345
log_u_div_umsy,2013,-2.23869703117362,0.867664131261753,-3.63235122389759,-0.892439928360269
log_u_div_umsy,2014,-2.02282046284089,0.86379945123347,-3.42771999587043,-0.701879268583512
log_u_div_umsy,2015,-2.11536098126072,0.897548703626863,-3.57744386778105,-0.700329968634335
log_u_div_umsy,2016,-1.7147309948788,2.37763040023477,-3.47768561198305,-0.293523515179339
log_u_div_umsy,2017,-1.44930758599562,2.70075925472824,-3.3221319796002,0.0686881978035427
log_u_div_umsy,2018,-0.848781972576423,3.4249168817927,-2.88989259489578,0.654763369466884
log_u_div_umsy,2019,-0.804310528886924,4.39399130477556,-3.26204592198355,0.94711062558751
log_u_div_umsy,2020,-0.343071912837325,5.33726823622812,-3.14678703048484,1.68158720860265
log_u_div_umsy,2021,0.0596973194451495,6.09931863958295,-3.17241344748606,21.0501310694939
m,2005,2,0,2,2
msy,2005,29177.7651066743,30590.6999074352,6334.56044243186,79276.8464256265
pen,2005,0.000636216487186078,0.0214986988647244,0,1.34188925546086e-05
plim,2005,0.05,0,0.05,0.05
proc_errors,2005,0.621689817255282,0.191746544490975,0.361791037559116,0.946045546136579
proc_errors,2006,0.960898609993786,0.295899521604894,0.562454995505912,1.46807615366984
proc_errors,2007,1.29089455791587,0.395829174067558,0.756788528035425,1.96537965724524
proc_errors,2008,1.25092597238822,0.366179035211242,0.729111888757951,1.89620153127251
proc_errors,2009,1.12298624848687,0.336727509020064,0.663336317466491,1.69927474017494
proc_errors,2010,1.06925266016592,0.308952845494463,0.641479541746137,1.6279893738348
proc_errors,2011,1.19909231341389,0.347409477221714,0.741642768818971,1.75889169737564
proc_errors,2012,1.38364397973831,0.355071146690701,0.867953342157303,1.99030808229491
proc_errors,2013,1.20527326771588,0.332430515566371,0.731036728253018,1.76783009782952
proc_errors,2014,1.28154093732066,0.410461994805401,0.747245511707329,1.98256853785463
proc_errors,2015,1.00289587525994,0.433738469994373,0.460231080682842,1.77892252252206
proc_errors,2016,0.996280057690463,0.44288864619974,0.458636674977724,1.77294588968106
