variable,year,mean,sd,lower,upper
b_t,1950,8773173.9924073,6930458.03894242,2529476.91421459,21512150.0011032
b_t,1951,6287352.17583753,5335978.37973952,1638974.81384239,15475780.9700445
b_t,1952,4357151.03020994,3752688.51247204,1102210.411068,10961952.8522076
b_t,1953,3355014.27294772,2868883.67258822,856051.183625823,8508404.61778357
b_t,1954,2323777.75823925,1976095.19166528,595330.392076986,5954085.70193667
b_t,1955,2068392.26385525,1870155.98045846,504339.781815334,5285215.92852187
b_t,1956,2063789.41797557,1828658.05253088,502217.483212325,5363452.08543055
b_t,1957,2250481.97643347,2008495.65920062,561988.101853248,5787199.00049462
b_t,1958,4218693.20627974,3623206.59713941,1067339.75811752,10783812.2084474
b_t,1959,4689139.2855517,4044593.21900744,1173144.55455863,11831251.4881365
b_t,1960,6470138.51293323,5621624.98733238,1598008.34922298,16354891.9695668
b_t,1961,8763029.10538532,7775971.85413879,2188973.42701976,22086238.6864922
b_t,1962,7712446.37067518,6688927.32444102,1917588.53099879,19832374.1180123
b_t,1963,8743684.99071844,7928479.54038813,2184382.85597353,23046880.4938214
b_t,1964,9268993.63777801,7935324.94943462,2317768.70787962,23200125.0796273
b_t,1965,11964454.0586448,10420720.4804881,2977486.61386951,29790331.2723582
b_t,1966,14426622.4353355,12556215.677459,3708870.64157243,36417477.9613132
b_t,1967,16241163.7450516,14305853.2051146,3992920.88793767,40283546.148665
b_t,1968,19950246.9803039,17485456.4676663,5048759.83436311,51664985.7772626
b_t,1969,21913301.2534001,18474965.4068605,5673886.51906932,55755134.6374082
b_t,1970,24988026.7867023,21556426.6148332,6526316.61751308,64888526.5857154
b_t,1971,18230819.8218778,15351257.8161629,4674563.76621241,45766354.9485264
b_t,1972,22766505.4445224,19447428.9256071,5953518.86666898,57077945.169522
b_t,1973,32973910.0618389,31792738.6548875,7237022.26523051,97767791.5777164
b_t,1974,7989925.91072858,6771321.96889785,2002999.41517444,20135355.9582295
b_t,1975,7558075.66977695,6335698.29410382,1923072.06856747,18799328.4049298
b_t,1976,8595106.70152215,8016988.41977627,2070479.94200825,21939470.9497133
b_t,1977,6178995.42132159,5481737.5131759,1627420.69640839,15956131.5466654
b_t,1978,9030551.97912843,7844175.25099381,2317062.75657425,22412038.1269686
b_t,1979,12429806.1010381,11170993.667974,3110129.47724577,31428621.6408892
b_t,1980,11539639.3391785,9962435.9225786,2972236.66709532,28713732.9352165
b_t,1981,14864661.6950274,13529674.6294104,3673368.17959478,38146777.7119871
b_t,1982,8401648.57956021,7547907.50116755,1993067.93905013,21581032.3338235
b_t,1983,8445534.68752774,7600671.75670519,2083668.4417463,21772413.5835824
b_t,1984,8973580.01599667,7901878.9057847,2335784.4278773,22234527.4942745
b_t,1985,10227512.4012043,8621769.30925272,2645789.20268011,25965712.3710138
b_t,1986,9772538.64668002,8035989.46098784,2538124.80072641,24776001.2055998
b_t,1987,9047298.95529613,7648881.08877543,2335113.05661714,22885742.0581617
b_t,1988,9072572.07611074,7929252.30606595,2296754.86506722,23088279.6085975
b_t,1989,10022651.7307071,8983895.80427828,2571981.36131714,25067010.3411091
b_t,1990,14907627.6614367,13207750.7647083,3797892.2108713,37679088.1868458
b_t,1991,16605562.7158061,14994577.3892143,4288105.84826286,42391537.2770622
b_t,1992,14918912.6513585,13211935.7956627,3737553.60661827,38014923.9087164
b_t,1993,15116381.4578157,13335147.0588649,3785319.78298771,38780313.7232752
b_t,1994,13412603.5209699,11450096.2240071,3421411.63711492,34366445.1676352
b_t,1995,14308351.8234168,12636616.2054237,3518645.34736436,37199182.4514839
b_t,1996,11815248.9744447,10311163.284378,2873130.22426867,30955039.40954
b_t,1997,9297880.441184,8138746.80223883,2266882.93188758,23618092.0478347
b_t,1998,7831296.48799765,6714037.76498682,2008403.20864218,20074299.9195521
b_t,1999,6522734.47457145,5684396.93700876,1691562.05755411,16458827.9216916
b_t,2000,7748132.29016164,6853479.03366516,1912514.92424367,20394421.8659975
b_t,2001,7639135.97160451,6614271.55613918,1983534.66123683,19218242.4317262
b_t,2002,6949400.07242268,6078735.87158607,1793086.41534106,18177760.4565634
b_t,2003,7648628.00196724,6716016.36572792,1995167.80931798,19762981.4956718
b_t,2004,6478572.59149833,5700651.63640559,1674562.56226977,16229641.1259552
b_t,2005,6220157.7337474,5451093.68107796,1590523.73868533,16190585.7479423
b_t,2006,6156777.8071522,5423013.45363107,1586117.99301778,15570811.3472796
b_t,2007,5343909.81992794,4607180.7850562,1389867.53605241,13486505.4008678
b_t,2008,5596676.64355602,4838053.28325782,1468895.68543784,13972375.6572789
b_t,2009,5747263.91686718,5025581.6889359,1437541.3054858,14466722.9023979
b_t,2010,5172584.50546794,4671142.47250696,1265207.47868566,13249126.2435686
b_t,2011,4735347.26286234,4052367.51572554,1199575.30559927,12028253.6570215
b_t,2012,4969526.15456949,4335903.44649532,1218877.91343544,12707244.1250659
b_t,2013,4304687.92567438,3846584.15126902,1036283.16300465,11120223.8357474
b_t,2014,3385382.59464149,2895403.13907671,841774.773080701,8718792.33816538
b_t,2015,3615972.89897261,3112452.34883674,892473.689199846,9463717.96605363
b_t,2016,4004619.93464128,3770434.83365483,805593.303707857,10854330.9408324
b_t,2017,4305810.64961715,4360313.26538843,736318.586180895,11915766.0936381
b_t,2018,4630552.05052252,5190777.2735634,656133.781419792,12975942.7740843
b_t,2019,5038972.77636375,6412228.96545229,670621.113613109,14273004.3561948
b_t,2020,5256496.72467721,6542738.22805567,598683.292235303,15688928.7679179
b_t,2021,5463671.85459991,7153790.85074815,563810.088263034,15832189.3188507
bmsy,1950,5289345.89352218,4158421.73521076,1583076.05694357,12936252.1730474
ck,1950,0.00217805090256171,0.00135234487236062,0.000583090094749385,0.0047647795529008
ck,1951,0.00219436534986315,0.00136247446075892,0.000587457666054349,0.00480046960258115
ck,1952,0.00186071324620279,0.00115531093165741,0.000498135035206819,0.00407056071044581
ck,1953,0.00210196494036829,0.00130510334062695,0.000562720979017387,0.00459833126810836
ck,1954,0.00154741810775928,0.000960786977459968,0.000414262205722121,0.00338518542012401
ck,1955,0.0012003390695942,0.000745286707464282,0.000321345025039533,0.00262590330126059
ck,1956,0.0014763852929601,0.000916682928858522,0.000395245877562456,0.00322979157549805
ck,1957,0.0010916242127979,0.000677785998934019,0.000292240766697607,0.00238807491710745
ck,1958,0.0035771952282097,0.00222106913048382,0.000957657647991881,0.0078255961144255
ck,1959,0.00323329245412101,0.00200754099274267,0.000865590790926189,0.00707326250080959
ck,1960,0.00463128177465031,0.00287554811186423,0.00123984913558072,0.0101315523331534
ck,1961,0.00700178540511304,0.0043473862703747,0.00187446111129928,0.0153173481358233
ck,1962,0.00585789721069461,0.00363714973161604,0.00156822865599639,0.0128149387232797
ck,1963,0.00611503022524203,0.00379680280185827,0.00163706621789144,0.0133774518071797
ck,1964,0.00643482226747816,0.00399536066293999,0.00172267834568342,0.0140770399491441
ck,1965,0.00754391593269618,0.00468399338927396,0.00201959589227395,0.0165033316451129
ck,1966,0.00913103734141028,0.00566943201991563,0.00244448714320727,0.0199753733808306
ck,1967,0.0132796713520898,0.00824530567146556,0.00355512574009336,0.0290510687575113
ck,1968,0.015217336814325,0.00944839598910787,0.00407386179747315,0.0332899727996352
ck,1969,0.016284272792711,0.0101108531418816,0.00435949323060307,0.0356240388805007
ck,1970,0.0170507630645988,0.0105867645118513,0.00456469177978937,0.037300839533182
ck,1971,0.0191008971502661,0.0118596862397792,0.00511353702342196,0.0417857838292971
ck,1972,0.0207467794443933,0.0128816093171298,0.00555415926126784,0.0453863729120937
ck,1973,0.0220172850749477,0.0136704622189443,0.00589428870802607,0.0481657750110945
ck,1974,0.00736445701238038,0.00457256791689266,0.00197155260791936,0.016110741098629
ck,1975,0.00843168174204604,0.00523520435441683,0.00225726134319626,0.0184454388617897
ck,1976,0.0109305353163227,0.00678673458448561,0.0029262341232521,0.0239120174446882
ck,1977,0.00577719122802644,0.00358703964387578,0.00154662270591254,0.0126383835217636
ck,1978,0.0184315716839877,0.0114441041883233,0.00493435064669797,0.0403215442689598
ck,1979,0.0261363220794609,0.016227959183577,0.00699700383484563,0.0571767229525144
ck,1980,0.0245292768324494,0.0152301499051569,0.00656677873576997,0.0536610951384259
ck,1981,0.0395642672136619,0.0245653275743793,0.0105918242274186,0.086552160568625
ck,1982,0.0081975044542325,0.00508980442183239,0.00219456930198696,0.0179331445203602
ck,1983,0.0099220714720702,0.00616058259367035,0.00265625637488776,0.0217058670286063
ck,1984,0.0168883404697837,0.0104859168397443,0.00452120932210721,0.0369455182421166
ck,1985,0.0196020249961359,0.0121708349241199,0.00524769489952398,0.0428820684526644
ck,1986,0.0202865099045971,0.0125958294249725,0.00543093963896498,0.0443794713335011
